Package Name,Library Name,Type,Official Website
La/a/a/a/a/b,no,no,no
Lorg/ini4j,ini4j,Development Framework,http://ini4j.sourceforge.net
Lcom/prime31,prime[31],Development Framework,https://prime31.com
Lde/greenrobot/event,EventBus,Development Aid,https://github.com/greenrobot/EventBus
Lcom/sponsorpay,Fyber(SponsorPay),Advertisement,http://www.sponsorpay.com
Lcom/c/a/a,no,no,no
Lme/zhanghai/android/materialprogressbar,MaterialProgressBar,Development Aid,https://github.com/DreaminginCodeZH/MaterialProgressBar
Lme/zhanghai,no,no,no
Lme/zhanghai/android,no,no,no
Lcom/adjust/sdk,adjust,Mobile Analytics,https://www.adjust.com/
Lcom/adjust,no,no,no
Lcom/c/a/b/a,no,no,no
Lme,no,no,no
Lcom/sec/android/iap,Samsung In-App Purchase,Payment,http://developer.samsung.com/iap
Lcom/fyber,Fyber,Advertisement,https://www.fyber.com/
Lcom/yandex/mobile/ads,Yandex Ad,Advertisement,https://www.yandex.com/
Lcom/turbomanage/httpclient,basic-http-client,Development Aid,https://github.com/turbomanage/basic-http-client
Lcom/neatplug,no,no,no
Lcom/c/a/c,no,no,no
Lcom/kbeanie/imagechooser,image chooser library,Development Aid,https://github.com/coomar2841/image-chooser-library
Lcom/kbeanie,no,no,no
Lcom/nokia/payment/iap,Nokia In-App Payment,Payment,http://developer.nokia.com/?p=932370&s=e0f3a2d5a412162fe5a577cfb660a309
Lcom/nokia/payment,no,no,no
Lcom/nokia,no,no,no
Lcom/google/a/b,no,no,no
Lcom/sec,no,no,no
Lcom/sec/android,no,no,no
Lcom/google/a/b/a,no,no,no
Lcom/b/a/a/a,no,no,no
Lcom/google/a,no,no,no
Lcom/naef,no,no,no
Lcom/supersonic/adapters/supersonicads,Supersonic Ads,Advertisement,https://www.supersonic.com/
Lcom/b/a/a,no,no,no
Lcom/jakewharton/disklrucache,Disk LRU Cache,Development Aid,https://github.com/JakeWharton/DiskLruCache
Lcom/a/a,no,no,no
Lcom/a/a/a,no,no,no
Lcom/google/a/b/a/a,no,no,no
Lnet/minidev/json,json smart,Development Aid,https://github.com/netplex/json-smart-v2
Lcom/meitu/android/trivialdrivesample,no,no,no
Lcom/purplebrain/adbuddiz,AdBuddiz,Advertisement,https://www.adbuddiz.com
Lc/a/a/a/a/g,no,no,no
